Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
38	-5.2	4.261455	-1.0	-13.0	1000.0	-0.37816945	0.6251508	5.8783197	-0.7318058	195000	6.3037874e-08	1.0317887	-0.008767433	-0.2738204	0.105529346	0.0036182266	0.0218	79.0	109.18041110038757
39	385.125	417.96332	998.0	-5.0	612.125	-0.42179918	0.59653485	31.631893	-0.7844115	200000	-1.3418197e-07	11469.387	-0.006405683	-3077.873	0.15687361	0.015781878	0.0346	58.0	112.00920391082764
40	-10.4	6.621178	-5.0	-23.0	1000.0	15.255014	21.69448	67.15559	-1.4459611	205000	-1.250267e-07	688.9136	-0.013461521	-660.2848	0.123270445	0.016181141	0.031	15.0	114.83245396614075
41	132.8	297.0464	726.0	-47.0	854.0	-0.3062826	0.6245888	14.494346	-1.0637091	210000	1.4619827e-07	5160.6133	-0.0037636983	-759.6343	0.10416001	0.0034330096	0.0156	79.0	117.73094487190247
42	143.4	428.78366	998.0	-119.0	800.4	20.67248	9.135862	47.364395	-1.6814293	215000	-9.536743e-09	1081.7028	-0.00443807	-647.81555	0.41134638	0.011695729	0.0754	79.0	120.59413290023804
43	380.5	430.14096	995.0	-73.0	602.75	-3.692125	2.31362	25.44974	-6.794657	220000	-1.0871887e-07	16679.512	-0.010240548	-4417.7686	0.275905	0.0150379855	0.0502	45.0	123.14340400695801
44	377.14285	391.4794	986.0	-26.0	615.8571	21.342934	27.10244	75.08666	-0.5785544	225000	-1.9397736e-07	10108.865	-0.008070528	-1162.081	0.1907611	0.015888117	0.054	59.0	125.8385238647461
45	420.5	437.85843	990.0	-10.0	574.5	33.018322	31.69419	83.834724	-3.303578	230000	-2.772331e-07	12140.11	-0.012729167	-1635.3418	0.14661357	0.00735542	0.0438	79.0	128.8131709098816
46	-6.6	3.9293766	-1.0	-11.0	1000.0	11.982091	13.191605	85.19911	-2.4482193	235000	2.1209716e-07	225.01215	-0.008619081	-179.52762	0.12576191	0.016193932	0.0254	75.0	131.67263674736023
47	169.8	289.20123	739.0	-6.0	820.8	3.1037421	10.491457	87.048195	-3.642941	240000	-1.1310578e-07	4985.158	-0.00848779	-1530.2273	0.15429388	0.0038569847	0.0298	79.0	134.56303691864014
48	-5.4	2.7276363	-2.0	-9.0	1000.0	0.42738408	4.771836	92.581726	-1.5657479	245000	-1.8692017e-08	25.206871	-0.0093649365	-6.730093	0.1252279	0.0042589437	0.0162	79.0	137.44485902786255
49	456.5	467.86243	995.0	-9.0	536.25	2.2927759	13.550954	94.93608	-1.5600837	250000	-1.7642975e-08	11572.188	-0.011044963	-1638.8594	0.10040437	0.015607468	0.0192	42.0	140.0565140247345
50	-28.8	376.85617	685.0	-406.0	857.2	86.06379	26.097277	103.640144	7.3950443	255000	2.4795533e-08	13512.9375	-0.0076241563	-9203.785	0.8264839	0.011932113	0.0728	79.0	143.34121680259705
51	516.2222	478.12057	977.0	-42.0	469.66666	0.35244185	17.446	98.05487	-5.1645284	260000	-1.7762184e-07	21508.557	-0.01214006	-2590.5723	0.19711687	0.00243081	0.03	79.0	146.1871509552002
52	500.9	426.1719	967.0	-17.0	485.3	32.09318	46.554592	109.323784	-6.3383374	265000	-6.170273e-08	25885.234	-0.0102564	-3584.5781	0.2120201	0.0066554397	0.051	79.0	149.11378407478333
53	-117.6	152.92691	-4.0	-405.0	952.6	53.070087	50.413376	120.944695	4.2864413	270000	-7.629395e-09	7957.4	-0.009126419	-6285.594	0.39038748	0.015784826	0.0904	15.0	151.6448040008545
54	381.57144	453.55923	957.0	-16.0	603.5714	-2.7214122	4.9338903	28.467304	-6.876253	275000	-1.04904174e-07	15866.479	-0.0043178895	-1560.709	0.12843664	0.023580294	0.1066	9.0	154.01037406921387
55	-9.4	5.4990907	-4.0	-20.0	1000.0	12.970243	16.630222	64.83087	-3.1008906	280000	-2.4261476e-07	381.76407	-0.011250408	-324.74725	0.1021432	0.0041265963	0.0176	79.0	156.83913493156433
56	-9.6	9.024411	-1.0	-21.0	1000.0	2.104173	6.6417627	66.53949	-1.5624794	285000	2.9373169e-08	42.94425	-0.011285295	-35.615726	0.07613082	0.01108941	0.0144	79.0	159.78604388237
57	152.66667	456.10327	989.0	-326.0	728.5	29.63181	31.663105	65.22728	-1.4924457	290000	-5.2070618e-08	6830.387	-0.007687385	-1381.0356	0.42421454	0.025666645	0.1204	10.0	162.22691988945007
58	465.75	480.98538	958.0	-30.0	523.125	-3.3457503	6.260957	44.410004	-6.147854	295000	-3.156662e-08	19435.664	-0.0067204237	-2759.625	0.2942563	0.01816882	0.0358	19.0	164.77405381202698
59	345.625	402.94598	951.0	-122.0	598.375	18.7769	31.289818	83.15244	-2.4836855	300000	-3.8337706e-08	15522.917	-0.011912913	-2256.9844	0.39981627	0.01600854	0.0896	31.0	167.32850098609924
60	467.36365	539.3367	929.0	-718.0	440.36365	41.487007	48.383305	110.156395	1.7768341	305000	-5.7411192e-08	37093.477	-0.015213724	-5430.2637	0.45235127	0.014958142	0.1098	45.0	170.3635950088501
61	595.1667	374.77032	997.0	-69.0	335.5	47.25541	49.334354	117.50634	-2.5606704	310000	2.1362304e-08	29986.627	-0.013881838	-1979.9746	0.4426245	0.01565679	0.0766	60.0	173.1107759475708
62	332.57144	453.93262	899.0	-119.0	617.8571	27.364391	37.740032	133.71739	-2.1459608	315000	-7.247925e-09	13122.462	-0.011214604	-1160.6143	0.32476735	0.020758277	0.0506	32.0	175.59627890586853
63	337.0	483.49207	982.0	-250.0	607.4286	41.17537	62.585617	141.50676	-2.7677617	320000	6.0272214e-08	15854.144	-0.012024377	-1650.291	0.37017202	0.010443576	0.0792	79.0	178.4641969203949
64	556.1818	461.11227	986.0	-165.0	416.54544	26.983215	45.84371	115.69042	-4.207755	325000	8.430481e-08	32115.068	-0.009830807	-4475.2227	0.3235476	0.015692025	0.0586	19.0	181.00893688201904
65	497.8	448.03702	947.0	-95.0	462.6	17.865475	43.658215	143.1819	-3.844818	330000	-1.9645691e-08	25708.914	-0.0061095566	-3779.1738	0.37551293	0.0213742	0.0906	5.0	183.40677976608276
66	634.5333	351.06558	972.0	-82.0	329.13333	54.072605	70.16958	153.17598	-3.4276466	335000	-1.7738342e-08	37649.22	-0.0060318448	-4538.617	0.5246528	0.01765252	0.0964	8.0	185.88217902183533
67	708.0	384.57672	999.0	-150.0	257.6875	66.52686	82.11565	170.31915	-3.5556262	340000	6.6757204e-09	37810.055	-0.016541721	-3174.0117	0.46734706	0.015232873	0.0814	65.0	188.6808078289032
68	524.8	454.92368	982.0	-126.0	415.8	57.28914	78.38802	179.56168	-2.9748776	345000	1.1062622e-08	21519.043	-0.01722565	-4961.7715	0.62850755	0.0151106445	0.086	69.0	191.4433798789978
69	533.0	462.14322	953.0	-124.0	429.18182	32.319267	72.89385	183.59976	-4.7095795	350000	1.0490417e-08	24815.57	-0.0075027756	-1746.6641	0.4253118	0.015997691	0.071	26.0	193.98009490966797
70	609.75	434.97662	992.0	-143.0	348.66666	57.01807	88.7346	189.252	-9.433098	355000	-8.106232e-09	30933.945	-0.005605386	-3518.9375	0.5499881	0.015962139	0.1246	9.0	196.81098890304565
71	106.333336	340.60812	859.0	-139.0	815.0	67.428986	87.37804	191.32677	-13.088932	360000	-1.6593933e-08	13598.782	-0.007911342	-6473.7104	0.41239947	0.014170088	0.0654	32.0	199.62092089653015
72	555.0909	528.57	989.0	-670.0	364.0909	134.01282	78.507515	182.26036	-9.317412	365000	-1.7881394e-08	47795.918	-0.015749216	-4908.0977	0.30878827	0.01640165	0.0722	69.0	202.37817287445068
73	500.0	454.24002	983.0	-133.0	478.5	59.411564	77.07435	171.84636	-9.649823	370000	-4.119873e-08	21206.916	-0.0052248626	-4465.9824	0.3016986	0.018885534	0.0592	11.0	204.8059868812561
74	568.4167	447.3784	970.0	-90.0	398.75	19.70438	63.214863	172.01616	-10.36745	375000	-3.6239625e-09	29170.842	-0.0075015444	-3527.3086	0.47010243	0.016664572	0.0814	18.0	207.25699400901794
75	286.5	539.9995	998.0	-810.0	577.5	90.81606	88.38035	178.09807	-7.5928745	380000	-1.2302398e-07	22352.729	-0.0075545106	-929.3301	0.40551636	0.017066378	0.0724	9.0	209.6097400188446
76	498.54544	457.9554	924.0	-250.0	447.18182	71.50816	79.83929	170.88991	-3.5390103	385000	2.3460387e-08	30240.521	-0.008688234	-5394.9375	0.45662358	0.01592376	0.1204	14.0	212.058198928833
77	368.1111	662.92426	989.0	-698.0	481.55554	96.43847	86.78677	174.21866	-3.9163756	390000	2.193451e-09	35702.137	-0.004053286	-19841.434	0.3299576	0.021786435	0.069	3.0	214.4273419380188
78	766.36365	307.00897	995.0	-112.0	194.5	41.209557	70.44161	173.36635	-4.991099	395000	-8.869171e-09	74684.305	-0.0071979905	-13610.18	0.670016	0.011970115	0.1246	8.0	216.9533281326294
79	237.0	527.1565	996.0	-325.0	672.8333	111.1119	87.9791	182.77502	2.878168	400000	-4.1389466e-08	23536.59	-0.0070738844	-2005.1523	0.46429902	0.01034914	0.0414	47.0	219.7287940979004
80	514.1	448.72675	999.0	-101.0	461.7	33.098797	71.79331	173.58151	-5.2517166	405000	1.7166137e-08	18385.518	-0.017311046	-1152.1133	0.26661524	0.013055777	0.0554	79.0	223.04947590827942
81	284.2857	383.6776	893.0	-92.0	683.0	31.391409	61.90527	175.04836	-4.9573402	410000	-2.7680397e-08	11683.98	-0.010619495	-726.2422	0.34660497	0.015640128	0.0954	26.0	225.69627475738525
82	563.2308	495.1531	999.0	-400.0	383.46155	82.19958	77.02256	175.05457	-4.716674	415000	1.039505e-08	33301.746	-0.0070873545	-8098.582	0.3054197	0.016657716	0.0982	11.0	228.19227480888367
83	334.375	552.94434	938.0	-526.0	557.0	96.27964	81.50769	177.98685	-5.000598	420000	-6.5898895e-08	29652.035	-0.0062282067	-1349.5547	0.2919307	0.013668396	0.0428	44.0	230.8480749130249
84	410.375	466.77	892.0	-119.0	557.5	47.992226	73.961266	173.32117	-5.228361	425000	-1.5068053e-08	19778.035	-0.005799857	-5447.2256	0.30149502	0.0071224305	0.039	79.0	233.67244577407837
85	400.0	504.0486	998.0	-163.0	547.625	46.32772	74.00297	175.2566	-5.67432	430000	-3.9100648e-08	17960.898	-0.008790676	-4794.8965	0.3344286	0.015472241	0.054	57.0	236.35003685951233
86	477.8889	478.61594	971.0	-86.0	483.22223	89.58624	80.55209	176.88353	-5.7251062	435000	-9.9873546e-08	32033.127	-0.011945174	-5690.299	0.30629566	0.014395267	0.0974	53.0	239.09260296821594
87	334.75	478.30084	921.0	-297.0	593.625	32.20519	53.71594	146.42717	-5.9857955	440000	2.374649e-07	20689.713	0.0064192074	-3025.2969	0.39405614	0.011896292	0.0906	1.0	241.4888880252838
88	288.14285	521.61053	933.0	-469.0	625.7143	53.174156	64.156204	141.4845	-5.76198	445000	1.4019013e-08	21334.125	-0.00928842	-2481.877	0.44305596	0.0071422043	0.0542	79.0	244.29704689979553
89	285.2857	472.2432	906.0	-205.0	644.5714	88.59121	30.01724	112.4328	-5.0472403	450000	-2.5749207e-08	20576.396	-0.005433342	-3788.7012	0.60819465	0.016172642	0.0826	52.0	247.00113773345947
90	613.7143	451.21512	991.0	-290.0	346.92856	32.29068	48.258144	101.76767	-7.6142964	455000	6.9046024e-08	43639.797	-0.013612556	-2299.5742	0.3565829	0.013943645	0.0942	59.0	250.15630793571472
